sample_id,ratio,aerobe_pfams,anaerobe_pfams,Oxygen_level,year,date,subgenus,species_id,id_certainty,morphotype,country,area,location,site,land_type,habitat_type,lat,lon,elev_masl,collector,caste,gut_storage_method
202006130740,10.92298700900615,6,4,79.71333745399085,2020,0613,Separatobombus,morrisoni,high,morrisoni-worker,US,Moab_UT,Mill_Creek,Mill creek meadow,BLM,NA,38.55457,-109.49558,1347,TJH,worker,Whole in 95pct EtOH
202006130802,11.16348912234535,8.5,3,79.69273075840806,2020,0613,Fervidobombus,pensylvanicus,high,pensyl-worker,US,Moab_UT,Mill_Creek,Mill creek meadow 2,BLM,NA,38.55777,-109.50029,1334,TJH,worker,Whole in 95pct EtOH
202006140655,14.2539540422042,8,3,81.32370278629095,2020,0614,Fervidobombus,pensylvanicus,high,pensyl-worker,US,Moab_UT,Mill_Creek,Mill creek meadow,BLM,NA,38.55457,-109.49558,1347,TJH,worker,Whole in 95pct EtOH
202006140952,195.69364142261452,4.5,2,100,2020,0614,Psithyrus,insularis,high,put-insularis-female,US,Moab_UT,La_Sals,Clark lake trail,MantiLaSal_NF,NA,38.49788,-109.26657,2873,TJH,female_cuckoo,Whole in 95pct EtOH
202006140954,749.5821218234964,3,1.5,100,2020,0614,Pyrobombus,huntii,moderate,put-huntii-queen-sm,US,Moab_UT,La_Sals,Clark lake trail,MantiLaSal_NF,NA,38.49788,-109.26657,2873,TJH,queen,Whole in 95pct EtOH
202006141000,NA,4.5,0,NA,2020,0614,Pyrobombus,flavifrons_flavifrons,moderate,put-flav-flav-queen,US,Moab_UT,La_Sals,Clark lake trail,MantiLaSal_NF,NA,38.49788,-109.26657,2873,TJH,queen,Whole in 95pct EtOH
202006141004,NA,6,0,NA,2020,0614,Pyrobombus,flavifrons_flavifrons,moderate,put-flav-flav-queen,US,Moab_UT,La_Sals,Clark lake trail,MantiLaSal_NF,NA,38.49788,-109.26657,2873,TJH,queen,Whole in 95pct EtOH
202006141025,NA,4,0,NA,2020,0614,Pyrobombus,bifarius,low,put-bif-queen,US,Moab_UT,La_Sals,Clark lake trail,MantiLaSal_NF,NA,38.49788,-109.26657,2873,TJH,queen,Whole in 95pct EtOH
202006141241,7.699108985761326,7,3,74.35739086016164,2020,0614,Bombias,nevadensis,moderate,put-nevadensis-worker,US,Moab_UT,La_Sals,Trailside meadow 1,MantiLaSal_NF,NA,38.48878,-109.24425,3099,TJH,worker,Whole in 95pct EtOH
202006141411,6.454636582258114,6,3,66.57482669781766,2020,0614,Bombias,nevadensis,moderate,put-nevadensis-worker,US,Moab_UT,La_Sals,Burro pass meadow,MantiLaSal_NF,NA,38.49331,-109.22144,3178,TJH,worker,Whole in 95pct EtOH
